metric,pearson_r,pearson_p,spearman_r,spearman_p,n,pearson_p_fdr,significant_fdr
cv_edge_density,-0.4127,0.0,-0.4247,0.0,200,0.0,True
cv_negative_space_ratio,0.2656,0.0001,0.2826,0.0001,200,0.0004,True
cv_region_count,-0.2487,0.0004,-0.2696,0.0001,200,0.0012,True
cv_largest_region_area_ratio,-0.201,0.0043,-0.2245,0.0014,200,0.0097,True
cv_symmetry_score_fuzzy_global,0.1749,0.0133,0.1497,0.0344,200,0.0239,True
cv_rule_of_thirds_offset,-0.1034,0.1451,-0.1103,0.1201,200,0.2176,False
cv_subject_centroid_y,0.0621,0.3823,0.1297,0.0673,200,0.4915,False
cv_symmetry_score,-0.0448,0.5289,-0.1105,0.1192,200,0.5416,False
cv_subject_centroid_x,0.0434,0.5416,0.0722,0.3094,200,0.5416,False
